Species;Date;Year;Quarter;Month;Index;Appr. status;Seqno;Haul;Validity;Station name;Subsam;Processing;Size;Sex;Subdiv;Rect;ICES;Lat;Long;Bottom depth;Duration;Dist.;Doorspread;Opening;Headropedepth;Swept area;Kg/hour;Tot. no./hour;Lengthcl.;No./hour;Length measure type;DNA sampleID;NumberToSample;SMHI serial no
greater weever;1991-02-05;1991;1;2;SEPI.1991.1;Locked;1;1;V;HOLMEGRUND;;;;;4B;4352;43F7;5702,35;0744,9;30;30;1,7;;;;;;;;;;;;116
greater weever;1991-02-05;1991;1;2;SEPI.1991.2;Locked;2;2;V;40 NW THYBORÖN;;;;;4B;4352;43F7;5707,99;0714,96;52;30;1,9;;;;;;;;;;;;117
greater weever;1991-02-05;1991;1;2;SEPI.1991.3;Locked;3;3;V;60 NW THYBORÖN;;;;;4B;4351;43F6;5715,899;0641,5;72;30;1,8;;;;;;;;;;;;118
greater weever;1991-02-05;1991;1;2;SEPI.1991.4;Locked;4;4;V;44 SW LINDESNÄS;;;;;4B;4351;43F6;5720,5;0620,04;77;30;1,8;;;;;;;;;;;;119
greater weever;1991-02-06;1991;1;2;SEPI.1991.5;Locked;5;5;V;9 WNW BOVBIERG.;;;;;4B;4252;42F7;5636,6;0752,3;26;30;2;;;;;;;;;;;;120
greater weever;1991-02-06;1991;1;2;SEPI.1991.6;Locked;6;6;V;30 W BOVBJERG;;;;;4B;4252;42F7;5633,58;0711,33;33;30;2;;;;;;;;;;;;121
greater weever;1991-02-06;1991;1;2;SEPI.1991.7;Locked;7;7;V;45 W BOVBJERG;;;;;4B;4251;42F6;5632,399;0649,799;42;30;2,2;;;;;;;;;;;;122
greater weever;1991-02-07;1991;1;2;SEPI.1991.8;Locked;8;8;V;52 SW LINDESNÄS;;;;;4A;4450;44F5;5732,95;0539,47;95;30;2;;;;;;;;;;;;123
greater weever;1991-02-07;1991;1;2;SEPI.1991.9;Locked;9;9;V;44 SW LISTA;;;;;4A;4450;44F5;5737,879;0508,26;91;30;1,9;;;;;;;;;;;;124
greater weever;1991-02-11;1991;1;2;SEPI.1991.10;Locked;10;10;V;62 WSW THYBORÖN;;;;;4B;4251;42F6;5634,899;0600,7;50;30;1,8;;;;;;;;;;;;125
greater weever;1991-02-11;1991;1;2;SEPI.1991.11;Locked;11;11;V;70 WSW THYBORÖN;;;;;4B;4250;42F5;5632,2;0554,9;47;30;1,9;;;;;;;;;;;;126
greater weever;1991-02-11;1991;1;2;SEPI.1991.12;Locked;12;12;V;60 NE EKOFISK;;;;;4B;4250;42F5;5643,529;0502,77;66;30;2;;;;;;;;;;;;127
greater weever;1991-02-11;1991;1;2;SEPI.1991.13;Locked;13;13;V;68 NE EKOFISK;;;;;4B;4350;43F5;5701,299;0511,09;59;30;2;;;;;;;;;;;;128
greater weever;1991-02-12;1991;1;2;SEPI.1991.14;Locked;14;14;V;20 N HANSTHOLM;;;;;4B;4353;43F8;5726,799;0830,7;57;30;1,9;;;;;;;;;;;;129
greater weever;1991-02-12;1991;1;2;SEPI.1991.15;Locked;15;15;V;16 N HANSTHOLM;0;0;9;;4B;4353;43F8;5724;0830,2;40;30;1,9;75,9;5,1;;0,5340;1,84;10;270;4;Total length TL;;;130
